order_id,product_name,category,price,quantity,order_date,customer_region,payment_method
1001,Teclado Gamer RGB,Periféricos,202.79,4,2024-10-01,Sudeste,Boleto
1002,Teclado Gamer RGB,Periféricos,2117.41,2,2024-03-12,Centro-Oeste,Boleto
1003,Monitor UltraWide,Monitores,4496.22,3,2024-06-06,Nordeste,Boleto
1004,Mouse Ergonômico,Periféricos,209.22,3,2024-10-11,Norte,Paypal
1005,Mouse Ergonômico,Periféricos,3312.43,5,2024-12-01,Centro-Oeste,Paypal
1006,Fone Bluetooth Pro,Acessórios,3407.92,1,2024-09-22,Norte,Paypal
1007,Monitor UltraWide,Monitores,2262.81,4,2024-05-31,Nordeste,Cartão
1008,Monitor UltraWide,Monitores,590.72,1,2024-04-18,Nordeste,Boleto
1009,Smartwatch X200,Wearables,3870.39,2,2024-12-02,Sudeste,Boleto
1010,Teclado Gamer RGB,Periféricos,4063.44,3,2024-08-14,Nordeste,Cartão
1011,Monitor UltraWide,Monitores,2317.06,5,2024-07-20,Sudeste,Boleto
1012,Teclado Gamer RGB,Periféricos,1486.96,2,2024-02-21,Centro-Oeste,Cartão
1013,Câmera ZoomX,Câmeras,3424.6,5,2024-03-30,Norte,Cartão
1014,SSD 1TB,Armazenamento,865.23,2,2024-10-02,Nordeste,Cartão
1015,Notebook Turbo14,Computadores,2807.44,5,2024-07-30,Sudeste,Cartão
1016,Smartwatch X200,Wearables,1255.89,5,2024-01-07,Nordeste,Boleto
1017,Teclado Gamer RGB,Periféricos,4341.3,5,2024-08-07,Sudeste,Cartão
1018,Notebook Turbo14,Computadores,1964.53,2,2024-05-12,Sul,Pix
1019,Teclado Gamer RGB,Periféricos,2681.83,3,2024-06-09,Nordeste,Paypal
1020,SSD 1TB,Armazenamento,3332.02,5,2024-10-08,Nordeste,Boleto
1021,SSD 1TB,Armazenamento,4144.07,5,2024-10-01,Sudeste,Cartão
1022,Smartwatch X200,Wearables,2214.74,4,2024-11-13,Norte,Paypal
1023,Fone Bluetooth Pro,Acessórios,1798.05,4,2024-09-06,Nordeste,Paypal
1024,HD Externo 2TB,Armazenamento,4681.08,2,2024-05-06,Centro-Oeste,Cartão
1025,HD Externo 2TB,Armazenamento,4672.83,3,2024-12-19,Centro-Oeste,Boleto
1026,Mouse Ergonômico,Periféricos,4248.55,1,2024-02-09,Norte,Pix
1027,Notebook Turbo14,Computadores,1005.02,4,2024-10-19,Nordeste,Cartão
1028,Câmera ZoomX,Câmeras,248.32,4,2024-03-07,Norte,Paypal
1029,SSD 1TB,Armazenamento,1317.95,3,2024-08-16,Norte,Cartão
1030,Fone Bluetooth Pro,Acessórios,1097.79,3,2024-10-08,Norte,Pix
1031,Teclado Gamer RGB,Periféricos,3495.51,3,2024-07-25,Norte,Paypal
1032,Notebook Turbo14,Computadores,4845.88,1,2024-11-15,Sudeste,Boleto
1033,Smartwatch X200,Wearables,634.37,5,2024-10-22,Sul,Cartão
1034,SSD 1TB,Armazenamento,3119.07,1,2024-10-21,Sul,Boleto
1035,Fone Bluetooth Pro,Acessórios,3243.96,2,2024-05-12,Nordeste,Paypal
1036,Fone Bluetooth Pro,Acessórios,994.67,1,2024-12-15,Nordeste,Paypal
1037,HD Externo 2TB,Armazenamento,667.54,5,2024-02-12,Sudeste,Boleto
1038,Mouse Ergonômico,Periféricos,4772.8,1,2024-04-16,Nordeste,Pix
1039,Câmera ZoomX,Câmeras,2413.54,4,2024-09-23,Nordeste,Cartão
1040,Monitor UltraWide,Monitores,2964.94,2,2024-01-01,Sudeste,Pix
1041,Monitor UltraWide,Monitores,1751.27,2,2024-07-03,Sudeste,Paypal
1042,Notebook Turbo14,Computadores,2390.08,3,2024-06-10,Centro-Oeste,Cartão
1043,Câmera ZoomX,Câmeras,2425.27,5,2024-12-16,Nordeste,Paypal
1044,Smartwatch X200,Wearables,365.49,4,2024-02-13,Centro-Oeste,Paypal
